"Election","Electorate","Area","Booth","Green Party","Labour Party","National Party","New Zealand First Party","Total Valid Party Votes"
2014,"East Coast","Te Araroa","Te Waha O Rerekohu Area School, 3 Arewhana Street",0.1707317073,0.2195121951,0.243902439,0.2682926829,41
2014,"East Coast","Waimana","Nukuhou North School, State Highway 2",0.0853658537,0.1097560976,0.5609756098,0.1951219512,82
2011,"Te Tai Tonga","Richmond","Richmond Primary School Hall, 19 Pavitt Street",0.2333333333,0.3666666667,0.0666666667,0.1333333333,30
2011,"Te Tai Tonga","Burwood","Burwood School, 255 New Brighton Road",0.2413793103,0.275862069,0.275862069,0.1034482759,29
2011,"Te Tai Tonga","Parklands","Parkview School Hall, 10 Chadbury Street",0.2058823529,0.4117647059,0.0882352941,0.1176470588,34
2011,"Te Tai Tonga","Queenspark","Queenspark School Hall, 222 Queenspark Drive",0.2916666667,0.2916666667,0.125,0.125,24
2011,"Te Tai Tonga","North East Valley","North East Valley Baptist Church Hall, 268 North Road",0.3684210526,0.4210526316,0.0526315789,0,19
2011,"Te Tai Tonga","Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",0.3888888889,0.3888888889,0.1111111111,0.0555555556,18
2011,"Te Tai Tonga","Invercargill","Elles Road Bible Chapel, 198 Earn Street",0.1489361702,0.5744680851,0.0212765957,0.0425531915,47
2011,"Te Tai Tonga","Riverton","Riverton Primary School Hall, 7 Leader Street",0.1555555556,0.3555555556,0.1111111111,0.1555555556,45
2011,"Te Tai Tonga","Tahunanui","Tahunanui School, 69 Muritai Street",0.1428571429,0.5510204082,0.0612244898,0.0408163265,49
2011,"Te Tai Tonga","Johnsonville","West Park School Hall, Broderick Road",0.2121212121,0.3333333333,0.2424242424,0,33
2011,"Te Tai Tonga","Sydenham","Special Needs Library, 109 Huxley Street",0.2413793103,0.3448275862,0.1379310345,0.1034482759,29
2011,"Te Tai Tonga","Waltham","Waltham School, corner Hastings Street East & Vienna Street",0.1944444444,0.5555555556,0.0833333333,0.0277777778,36
2011,"Te Tai Tonga","Arowhenua","Arowhenua Maori School, 33 Huirapa Street",0.25,0.5,0.1428571429,0,28
2011,"Te Tai Tonga","Berhampore","South Wellington Intermediate School Library, 165 Rintoul Street",0.2592592593,0.4444444444,0,0.0740740741,27
2011,"Te Tai Tonga","Lyall Bay","Lyall Bay Surf Club, Lyall Bay Parade (opposite 88 Lyall Bay Parade)",0.2058823529,0.4411764706,0.0294117647,0.1764705882,34
2011,"Te Tai Tonga","Miramar","Miramar Central School Hall, 38 Park Road",0.1320754717,0.4716981132,0.1132075472,0.0754716981,53
2011,"Te Tai Tonga","Newtown","Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",0.2333333333,0.2666666667,0.0333333333,0.2,30
2011,"Te Tai Tonga","Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",0.2058823529,0.4411764706,0.0588235294,0.0294117647,34
2011,"Te Tai Tonga","Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",0.125,0.4821428571,0.0357142857,0.0892857143,56
2011,"Te Tai Tonga","Strathmore Park","Strathmore Community School Hall, 108 Strathmore Avenue",0.1228070175,0.5789473684,0.0877192982,0.0350877193,57
2011,"Te Tai Tonga","Rolleston","Rolleston Community Centre, 94 Rolleston Drive",0.109375,0.234375,0.390625,0.078125,64
2011,"Te Tai Tonga","Kaiapoi","Kaiapoi High School Auditorium,  85 Ohoka Road",0.175,0.375,0.2,0.1,40
2011,"Te Tai Tonga","Karori","Karori West School, 7-21 Allington Road",0.2258064516,0.4838709677,0.064516129,0,31
2011,"Te Tai Tonga","Wellington City","Mount Cook Primary School, 160 Tory Street",0.2592592593,0.4444444444,0.0740740741,0.037037037,27
2011,"Te Tai Tonga","Riccarton","Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",0.1891891892,0.3513513514,0.1621621622,0.1081081081,37
2014,"New Lynn","Glen Eden","Catholic Church Hall, 7 Glendale Road",0.0909090909,0.2597402597,0.3766233766,0.2207792208,77
2014,"Rangitata","Fairton","Fairton School, 14 Fairfield Road",0.0395480226,0.1186440678,0.6836158192,0.1073446328,177
2011,"Ilam","Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",0.4375,0.1875,0.25,0.0625,16
2011,"Manukau East","Otara","East Tamaki Primary School, 196 Preston Road",0.0246478873,0.8274647887,0.0492957746,0.0669014085,284
2011,"Manukau East","Otara","Wymondley Road School, 77 Wymondley Road",0.0266159696,0.8859315589,0.0494296578,0.030418251,263
2011,"Bay of Plenty","Mt Maunganui","Mt Maunganui Intermediate School, 21 Links Avenue",0.07,0.15,0.5,0.12,100
2011,"Bay of Plenty","Mt Maunganui","Mt Maunganui Primary School, 13 Orkney Road",0.125,0.1607142857,0.5178571429,0.125,56
2011,"Bay of Plenty","Mt Maunganui","Senior Citizens' Hall, 345 Maunganui Road",0.0786516854,0.1123595506,0.606741573,0.1123595506,89
2011,"Papakura","Manurewa","Hillpark School Hall, 57 Grande Vue Road",0.0588235294,0.3529411765,0.4621848739,0.0840336134,119
2011,"Waiariki","Papamoa","Shop 7, Fashion Island, Gravatt Road",0.0921052632,0.2894736842,0.1184210526,0.2631578947,76
2011,"Waiariki","Edgecumbe","All Saints Anglican Church Hall, 73 Main Street",0.1111111111,0.3333333333,0.0476190476,0.1111111111,63
2011,"Waiariki","Mamaku","Mamaku School, 54 Tarena Street",0.1590909091,0.3409090909,0.1363636364,0.1136363636,44
2011,"Waiariki","Rotorua","Otonga School Hall, 105 Otonga Road",0.0833333333,0.3452380952,0.1071428571,0.0595238095,84
2011,"Port Hills","Akaroa","Akaroa Sports Centre, Rue Jolie",0.1296296296,0.0740740741,0.7777777778,0.0185185185,54
2014,"Christchurch East","Mairehau","Mairehau Primary School, 43 Mahars Road",0.1129032258,0.3064516129,0.4838709677,0.0806451613,62
2014,"Rimutaka","Epuni","Epuni School Hall, 313 Waiwhetu Road",0.056,0.376,0.456,0.048,125
2014,"Rimutaka","Petone","Petone Central School, 16 Britannia Street",0.1555555556,0.3333333333,0.4,0.1111111111,45
2011,"Ōhariu","Kenepuru","Kenepuru Community Hospital, Hospital Drive (off Raiha Street)",0.2413793103,0.1379310345,0.4482758621,0.1034482759,29
2011,"Ōhariu","Wellington City","Chaffers Dock Atrium, 18 Herd Street",0.2058823529,0.2058823529,0.5,0,34
2011,"Wellington Central","Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",0.2592592593,0.0740740741,0.4444444444,0.037037037,27
2011,"Wellington Central","Hataitai","Kilbirnie School Hall, 72 Hamilton Road",0.3333333333,0.2857142857,0.3333333333,0,21
2014,"Waikato","Glen Murray","Glen Murray Community Hall, 2400 State Highway 22",0.0573770492,0.0409836066,0.6721311475,0.0983606557,122
2014,"Waikato","Hinuera","Hinuera School, corner Highway 29 & Hinuera Road",0.0272373541,0.0428015564,0.7392996109,0.1011673152,257
2014,"Waikato","Pukekohe","Valley School, East Street",0.1666666667,0.0238095238,0.6904761905,0.0238095238,42
2014,"Waikato","Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",0.0630630631,0.1351351351,0.5495495495,0.1261261261,111
2014,"Waikato","Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",0.1076923077,0.1076923077,0.6461538462,0.0769230769,65
2014,"Hunua","Karaka","Karaka School Hall, 12 Blackbridge Road ",0.0510948905,0.0510948905,0.7664233577,0.0437956204,137
2014,"Ikaroa-Rāwhiti","Gisborne","Central School, 7 Central Street",0.1320754717,0.4339622642,0.1132075472,0.1698113208,53
2014,"Ikaroa-Rāwhiti","Manutuke","Manutuke School, 59 Waingake Road",0.095890411,0.5753424658,0.0136986301,0.1917808219,73
2014,"Ikaroa-Rāwhiti","Te Puia Springs","GDC Service Centre, 6 Waipiro Road",0.0933333333,0.36,0.0533333333,0.1866666667,75
2014,"Ikaroa-Rāwhiti","Wainuiomata","Arakura School, 209 Wellington Road",0.068627451,0.5980392157,0.0490196078,0.0784313725,102
2014,"Ikaroa-Rāwhiti","Napier City","Napier Intermediate, 3 Jull Street",0.1320754717,0.5094339623,0.0566037736,0.0943396226,53
2014,"Ikaroa-Rāwhiti","Pirimai","Baptist Church, 69 Bill Hercock Street ",0.109375,0.640625,0.03125,0.109375,64
2014,"Ikaroa-Rāwhiti","Naenae","Naenae Primary School, 18 Wheatley Street ",0.175,0.475,0.075,0.075,40
2014,"Ikaroa-Rāwhiti","Timberlea","Timberlea Community Centre, 72 Norana Road",0.25,0.4285714286,0.0357142857,0.1428571429,28
2014,"Ikaroa-Rāwhiti","Clive","Clive Community Hall, 162 Main Road",0.0729166667,0.3854166667,0.1354166667,0.1041666667,96
2014,"Ikaroa-Rāwhiti","Omahu","Omahu School, 22 Taihape Road",0.0795454545,0.4090909091,0.0795454545,0.1818181818,88
2014,"Ikaroa-Rāwhiti","Otane","Otane School, Higginson Street",0.1272727273,0.4727272727,0.0363636364,0.0909090909,55
2014,"Ikaroa-Rāwhiti","Parkvale","Takitimu Performing Arts School, 706 Albert Street",0.1228070175,0.5087719298,0,0.1228070175,57
2014,"Ikaroa-Rāwhiti","Featherston","Featherston School Hall, corner Lyons & Revans Streets",0.1272727273,0.4727272727,0.0545454545,0.1454545455,55
2014,"Ikaroa-Rāwhiti","Masterton","Lakeview School Hall, corner Te Ore Ore & Colombo Roads",0.0630630631,0.4324324324,0.0900900901,0.1441441441,111
2014,"Ikaroa-Rāwhiti","Masterton","Makoura College Students Centre, corner Makora Road & Johnstone Street",0.0648148148,0.5,0.0185185185,0.0833333333,108
2014,"Ikaroa-Rāwhiti","Waipukurau","The Terrace School Staffroom, 164 Porangahau Road",0.1346153846,0.5384615385,0.0769230769,0.0961538462,52
2011,"Rotorua","Rotoiti","Te Kura Kaupapa Māori O Rotoiti, 1620 State Highway 30",0.0786516854,0.2247191011,0.4157303371,0.191011236,89
2014,"Pakuranga","Botany Downs","Botany Downs Secondary College, 575 Chapel Road",0.0853658537,0.0853658537,0.6463414634,0.012195122,82
2011,"Dunedin North","Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",0.1186440678,0.4576271186,0.2711864407,0.1355932203,59
2014,"Palmerston North","Park West","Olive Tree Village Community Centre, 13 Olive Grove",0.0192837466,0.1928374656,0.608815427,0.0964187328,363
2014,"Rangitīkei","Kelvin Grove","Cornerstone Christian School, Administration Building, 119 Mihaere Drive",0.0795454545,0.0909090909,0.6931818182,0.0681818182,88
2014,"Rangitīkei","Waituna West","Waituna West School, 50 Waituna-Tapuae Road",0.0619469027,0.0973451327,0.6991150442,0.0265486726,113
2011,"Mt Roskill","Mt Albert","Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",0.2413793103,0.3793103448,0.3793103448,0,29
2011,"Mt Roskill","Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",0.1296296296,0.2407407407,0.537037037,0.0555555556,54
2011,"Hamilton East","Hamilton West","Hamilton West School, 36 Hammond Street",0.2333333333,0.1,0.6,0.0666666667,30
2011,"Hamilton East","Pukete","Pukete School, 100 Pukete Road",0.0864197531,0.2592592593,0.5308641975,0.0740740741,81
2011,"Hamilton East","Whangamata ","Whangamata Memorial Hall, 328 Port Road",0.1111111111,0.1111111111,0.7142857143,0.0317460317,63
2011,"North Shore","Other Vote","Ordinary Votes BEFORE polling day - Taken in Auckland Central",0.0886075949,0.0886075949,0.7341772152,0.0126582278,79
2011,"Ōtaki","Poroutawhao","Poroutawhao Hall, State Highway 1",0.0406976744,0.1279069767,0.6802325581,0.0988372093,172
2014,"Rotorua","Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",0.0432098765,0.0802469136,0.7716049383,0.0308641975,162
2014,"Tāmaki Makaurau","Flat Bush","Dawson Road Primary School, 15 Haumia Way",0.0909090909,0.5454545455,0,0.1168831169,77
2014,"Tāmaki Makaurau","Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",0.4375,0.3125,0.0625,0.0625,16
2014,"Tāmaki Makaurau","Parnell","Holy Trinity Cathedral, corner St Stephens Avenue & Parnell Road",0.4375,0.25,0.125,0.0625,16
2014,"Tāmaki Makaurau","Glen Eden","Catholic Church Hall, 7 Glendale Road",0.1458333333,0.4375,0.0416666667,0.0833333333,48
2014,"Tāmaki Makaurau","Glen Eden","Prospect School Hall, 76 Rosier Road",0.0864197531,0.4444444444,0.2098765432,0.1111111111,81
2014,"Tāmaki Makaurau","Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",0.1458333333,0.4166666667,0.1041666667,0.0208333333,48
2014,"Tāmaki Makaurau","Mangere","Nga Iwi School, 60 Mascot Avenue",0.0714285714,0.4795918367,0.0204081633,0.1836734694,98
2014,"Tāmaki Makaurau","Mangere","Southern Cross Campus, 253 Buckland Road West",0.125,0.4821428571,0.0357142857,0.0892857143,56
2014,"Tāmaki Makaurau","Mangere","Viscount Learning Community School, 65 Viscount Street",0.0752688172,0.5376344086,0.0215053763,0.0967741935,93
2014,"Tāmaki Makaurau","Otahuhu","McAuley High School, 26 High Street",0.1320754717,0.3396226415,0.0188679245,0.1886792453,53
2014,"Tāmaki Makaurau","Papatoetoe","Papatoetoe Intermediate School, 175 Motatau Road",0.137254902,0.3725490196,0.137254902,0.0980392157,51
2014,"Tāmaki Makaurau","Mt Albert","Gladstone Primary School Hall, 8 Seaview Terrace",0.21875,0.25,0.1875,0.09375,32
2014,"Tāmaki Makaurau","Mt Albert","Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",0.28,0.4,0.12,0.08,25
2014,"Tāmaki Makaurau","Green Bay","Green Bay Community House, 1 Barron Drive",0.2058823529,0.4117647059,0.0294117647,0.1764705882,34
2014,"Tāmaki Makaurau","Orakei","Orakei Primary School, 1 Grace Street",0.21875,0.4375,0.0625,0.03125,32
2014,"Selwyn","Christchurch City","Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",0.2258064516,0.1290322581,0.5483870968,0.064516129,31
2014,"Selwyn","Harewood","Harewood Playcentre, 719 Harewood Road",0.0707070707,0.1111111111,0.6767676768,0.0707070707,99
2014,"Selwyn","Windwhistle","Windwhistle School, corner Highway 72 & Rakaia Gorge Road",0.053030303,0.0227272727,0.803030303,0.0303030303,132
2011,"West Coast-Tasman","Hokitika","Kokatahi-Kowhitirangi School, 35 Upper Kokatahi Road",0.0564516129,0.1290322581,0.7580645161,0,124
2011,"West Coast-Tasman","Inangahua Junction","Inangahua Junction Hall, State Highway 6, RD1 ",0.0985915493,0.0985915493,0.6338028169,0.0845070423,71
2011,"West Coast-Tasman","Moana","Lake Brunner School, 21 Ahau Street",0.0404624277,0.1907514451,0.6300578035,0.0520231214,173
2011,"West Coast-Tasman","Westport","Sergeants Hill Hall, Caledonian Road",0.0603448276,0.25,0.5172413793,0.1120689655,116
2014,"Rodney","Wellsford","Wellsford School, 47 School Road",0.152173913,0.152173913,0.5652173913,0.0434782609,46
2014,"Kaikōura","Okaramio","Okaramio Community Hall, 2356 State Highway 6",0.0564516129,0.0322580645,0.685483871,0.1370967742,124
2014,"Kaikōura","Rotherham","Rotherham School, 71 George Street",0.0440251572,0.0943396226,0.7672955975,0.0691823899,159
2011,"Mana","Wellington City","Capital E, Civic Square",0.3181818182,0.2727272727,0.3181818182,0,22
2011,"Mana","Wellington City","Chaffers Dock Atrium, 18 Herd Street",0.5,0.2142857143,0.2142857143,0.0714285714,14
2011,"Hutt South","Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",0.1555555556,0.3111111111,0.4444444444,0.0444444444,45
2011,"Waitaki","Ettrick","Community Hall, 5155 Ettrick-Raes Junction Road (State Highway 8)",0.0608695652,0.147826087,0.6695652174,0.0608695652,115
2011,"Waitaki","Lake Roxburgh","Coal Creek Community Hall, Tamblyn Drive",0.0897435897,0.2307692308,0.5,0.0769230769,78
2014,"Te Tai Hauāuru","Ascot Park","Rangikura School, 95 Conclusion Street",0.1272727273,0.6545454545,0.0363636364,0.0545454545,55
2014,"Te Tai Hauāuru","Mana","St Barnabas' Church Hall, 106a Mana Esplanade",0.3043478261,0.2608695652,0.1739130435,0.1304347826,23
2014,"Te Tai Hauāuru","Paekakariki","St Peter's Village Hall, corner Beach Road & Ames Street",0.2258064516,0.2903225806,0.0967741935,0.064516129,31
2014,"Te Tai Hauāuru","Titahi Bay","Niblick Hall, 1 Niblick Lane",0.0853658537,0.5365853659,0.0243902439,0.1097560976,82
2014,"Te Tai Hauāuru","Titahi Bay","Titahi Bay School, 11 Kura Street",0.1794871795,0.4871794872,0.0769230769,0.0769230769,39
2014,"Te Tai Hauāuru","Bell Block","Fred Tucker Memorial Centre, 130 Parklands Avenue",0.1111111111,0.3492063492,0.1428571429,0.2063492063,63
2014,"Te Tai Hauāuru","New Plymouth","St James Church, 24 Lawry Street",0.3181818182,0.3636363636,0,0.1363636364,22
2014,"Te Tai Hauāuru","Levin","Levin North School, 148 Weraroa Road",0.1044776119,0.4179104478,0.1044776119,0.223880597,67
2014,"Te Tai Hauāuru","Paraparaumu","Mazengarb Sports Complex, Mazengarb Road",0.4375,0.375,0.125,0,16
2014,"Te Tai Hauāuru","Palmerston North","Central Normal School Hall, 201 Featherston Street",0.0833333333,0.4523809524,0.0714285714,0.0952380952,84
2014,"Te Tai Hauāuru","Ohakune","Ohakune Primary School Hall, 52 Arawa Street",0.3333333333,0.2857142857,0,0.0476190476,21
2014,"Te Tai Hauāuru","Ratana","Te Kura O Ratana, Kiatere Street",0.05,0.7214285714,0.0214285714,0.0214285714,140
2014,"Te Tai Hauāuru","Shannon","Shannon School, Grey Street",0.0744680851,0.6382978723,0.0425531915,0.1489361702,94
2014,"Te Tai Hauāuru","Te Kuiti","Centennial Park School, 50 Te Kuiti Road",0.0660377358,0.5471698113,0.0566037736,0.0754716981,106
2014,"Te Tai Hauāuru","Aramoho","Cullinane College, 15 Peat Street",0.2058823529,0.4117647059,0.0588235294,0.1176470588,34
2014,"Te Tai Hauāuru","Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",0.0729166667,0.5208333333,0.0104166667,0.1145833333,96
2014,"Te Tai Hauāuru","Normanby","Normanby School, 3 Hunter Street",0.109375,0.3125,0.078125,0.171875,64
2014,"Te Tai Hauāuru","Putiki","Te Kura Kaupapa Māori O Te Atihaunui A Paparangi, 25 Anaua Street",0.1044776119,0.3880597015,0.0746268657,0.0597014925,67
2014,"Taupō","Hautapu","Hautapu School, corner Forrest & Hautapu Roads",0.0321100917,0.0871559633,0.6788990826,0.1376146789,218
2014,"Taupō","Kinloch","Kinloch Community Hall, Kinloch Domain, 14 Mata Place",0.0195530726,0.0782122905,0.782122905,0.0642458101,358
2014,"Taupō","Omori","Omori Community Hall, Taupo District Council Depot, 320 Omori Road",0.0729166667,0.0520833333,0.71875,0.0833333333,96
2014,"Taupō","Roto-O-Rangi","Roto-O-Rangi School, 5 Kairangi Road",0.0344827586,0.0985221675,0.7586206897,0.0492610837,203
2011,"Whangarei","Waiotira","Waiotira School, Ararua Road",0.2413793103,0.0344827586,0.4137931034,0.275862069,29
2011,"Taranaki-King Country","Egmont Village","Egmont Village School Hall, 1052 Junction Road",0.0707070707,0.0808080808,0.7878787879,0.0202020202,99
2011,"Taranaki-King Country","Korakonui","Korakonui School, 734 Wharepuhunga Road",0.0357142857,0.0357142857,0.7857142857,0.0102040816,196
2011,"Taranaki-King Country","Parawera","Parawera School, 18 Mellsop Road",0.0588235294,0.0924369748,0.6974789916,0.0420168067,119
2011,"Taranaki-King Country","Ratapiko","Ratapiko School, 4 Ratapiko Road",0.0795454545,0.125,0.6022727273,0.0795454545,88
2011,"Taranaki-King Country","Te Rahu","Te Rahu Public Hall, corner State Highway 3 & Te Rahu Road",0.0267175573,0.106870229,0.7366412214,0.0534351145,262
2011,"Hamilton West","Chartwell","Hukanui School, corner Hukanui Road & Pickering Crescent",0.1627906977,0.1395348837,0.6046511628,0.023255814,43
2011,"Hamilton West","Hamilton East","Marian Catholic School, 119 Firth Street",0.1666666667,0.2142857143,0.5952380952,0.0238095238,42
2011,"Epsom","Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",0.2692307692,0.1923076923,0.5384615385,0,26
2014,"Tāmaki","Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0.2333333333,0.3,0.3,0.1,30
2014,"Tāmaki","Grafton","Auckland City Hospital, Foyer, 2 Park Road",0.1590909091,0.2272727273,0.5,0.0454545455,44
2014,"Coromandel","Kaihere","Kaihere School, 1115B State Highway 27",0.0376344086,0.064516129,0.7096774194,0.0967741935,186
2014,"Coromandel","Tahuna","Tahuna School, 43 Tahuna-Ohinewai Road",0.0240549828,0.058419244,0.7285223368,0.1134020619,291
2014,"Coromandel","Waitoa","Waitoa School, 3932 State Highway 26",0.0355329949,0.1624365482,0.6395939086,0.1116751269,197
2014,"Coromandel","Whitianga","Matarangi Fire Station, 201B Matarangi Drive",0.0434782609,0.0621118012,0.8074534161,0.0310559006,161
2014,"Maungakiekie","Grafton","Auckland City Hospital, Foyer, 2 Park Road",0.125,0.3214285714,0.4642857143,0.0357142857,56
2014,"Wellington Central","Kilbirnie","St Patrick's College School Hall, corner Evans Bay Parade & Cobham Drive",0.3043478261,0.0869565217,0.3913043478,0.1304347826,23
2014,"Wellington Central","Wadestown","Wadestown School Hall, Rose Street (steep path access only)",0.3181818182,0.3181818182,0.2727272727,0.0909090909,22
2011,"Te Tai Hauāuru","Cannons Creek","Cannons Creek School, 5 Warspite Avenue",0.0564516129,0.6129032258,0.0161290323,0.064516129,124
2011,"Te Tai Hauāuru","Paremata","Paremata School, 35 Paremata Crescent",0.2,0.1142857143,0.2571428571,0.0571428571,35
2011,"Te Tai Hauāuru","Waitangirua","Corinna School, 36 Kalingo Street",0.1,0.5857142857,0.0142857143,0.0714285714,70
2011,"Te Tai Hauāuru","Tawa","Tawa School, 6 Oxford Street",0.1272727273,0.2909090909,0.1090909091,0.0727272727,55
2011,"Te Tai Hauāuru","Levin","Levin East School, 90 Bartholomew Road",0.068627451,0.4509803922,0.0980392157,0.0882352941,102
2011,"Te Tai Hauāuru","Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",0.0886075949,0.4430379747,0.1392405063,0.1139240506,79
2011,"Te Tai Hauāuru","Paraparaumu  Beach","Paraparaumu Beach Guide Hall, Te Kupe Road",0.1842105263,0.4210526316,0.1052631579,0.0526315789,38
2011,"Te Tai Hauāuru","Waikanae","Waikanae Primary School Hall, Hira Street",0.1891891892,0.1891891892,0.1621621622,0.1351351351,37
2011,"Te Tai Hauāuru","Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",0.1060606061,0.5303030303,0.1212121212,0.0606060606,66
2011,"Te Tai Hauāuru","Palmerston North","Intermediate Normal School Performing Arts Centre, 31 South Street",0.2592592593,0.3333333333,0.1111111111,0.037037037,27
2011,"Te Tai Hauāuru","Palmerston North","Te Manawa Museum, 326 Main Street",0.2333333333,0.1333333333,0.0666666667,0.2666666667,30
2011,"Te Tai Hauāuru","Feilding","Feilding Intermediate School, 95 East Street",0.1707317073,0.4390243902,0.0487804878,0.0731707317,41
2011,"Te Tai Hauāuru","Feilding","Manchester St School, 160 Manchester Street",0.0985915493,0.4225352113,0.0985915493,0.1549295775,71
2011,"Te Tai Hauāuru","Putaruru","Putaruru Baptist Church Hall, 52 Arapuni Street",0.0795454545,0.4545454545,0.0227272727,0.2159090909,88
2011,"Te Tai Hauāuru","Gonville","St Peters Parish Hall, 72 Koromiko Road",0.1489361702,0.3191489362,0.085106383,0.1063829787,47
2011,"Te Tai Hauāuru","Hawera","Highland Pipe Band Hall, Collins Street",0.175,0.275,0.225,0.05,40
2011,"Te Tai Hauāuru","Whanganui","Carlton School, 99 Carlton Avenue",0.0833333333,0.4642857143,0.0357142857,0.0952380952,84
2014,"Taranaki-King Country","Mimi","Mimi School, 23 Pukearuhe Road",0.0538461538,0.0538461538,0.7615384615,0.0615384615,130
2014,"Taranaki-King Country","Pukeatua","Pukeatua School, 2110 Arapuni Road",0.0443037975,0.0379746835,0.8037974684,0.0506329114,158
2014,"Taranaki-King Country","Te Rahu","Te Rahu Public Hall, corner State Highway 3 & Te Rahu Road",0.0325581395,0.1023255814,0.7348837209,0.0418604651,215
2014,"Taranaki-King Country","Tongaporutu","Tongaporutu Hall, Tongaporutu Road",0.1428571429,0.1836734694,0.4693877551,0.0612244898,49
2014,"Taranaki-King Country","Waitomo Caves","Waitomo School, Hotel Access Road",0.0654205607,0.1495327103,0.5327102804,0.0934579439,107
2014,"Taranaki-King Country","Whangamomona","Whangamomona Hall, 6013 State Highway 43",0.0864197531,0.0617283951,0.6172839506,0.1111111111,81
2014,"Northcote","Takapuna","Takapuna Normal Intermediate School, 54b Taharoto Road",0.1555555556,0.1777777778,0.4222222222,0.1111111111,45
2014,"Northland","Moerewa","Moerewa School, Otiria Road",0.0608695652,0.5217391304,0.2086956522,0.1391304348,115
2014,"Northland","Takahue","Takahue Community Hall, Takahue Saddle Road",0.0813953488,0.0930232558,0.5,0.1976744186,86
2014,"Northland","Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",0.0843373494,0.2048192771,0.4096385542,0.1084337349,83
2014,"Northland","Waiharara","Waiharara School, Katavich Road",0.0603448276,0.1551724138,0.5775862069,0.0862068966,116
2014,"Port Hills","Governors Bay","Governors Bay School Library, 1 Jetty Road",0.35,0.15,0.5,0,20
2014,"Port Hills","Spreydon","Spreydon Baptist Church, 51 Cobham Street",0.125,0.2321428571,0.4642857143,0.0535714286,56
2014,"Te Tai Tonga","Redwood","Northcote School, 26 Tuckers Road",0.1944444444,0.3888888889,0,0.1944444444,36
2014,"Te Tai Tonga","Petone","Wilford School, 100 William Street",0.1627906977,0.4418604651,0.1395348837,0.0930232558,43
2014,"Te Tai Tonga","Waiwhetu","Waiwhetu Marae Meeting House, 4 Puketapu Grove",0.0693069307,0.5148514851,0.0594059406,0.0594059406,101
2014,"Te Tai Tonga","Invercargill","Newfield Public Hall, 707 Tweed Street",0.109375,0.359375,0.140625,0.203125,64
2014,"Te Tai Tonga","Blenheim","Redwoodtown School, 90 Cleghorn Street",0.1111111111,0.4126984127,0.0793650794,0.2222222222,63
2014,"Te Tai Tonga","Nelson","Court House, 200 Bridge Street",0.2413793103,0.4482758621,0.0344827586,0.1379310345,29
2014,"Te Tai Tonga","Nelson","Masonic Hall, 109 Nile Street",0.1842105263,0.2894736842,0.1052631579,0.1842105263,38
2014,"Te Tai Tonga","Johnsonville","Onslow College Hall, Burma Road",0.1590909091,0.3409090909,0.1363636364,0.2045454545,44
2014,"Te Tai Tonga","Newlands","Bellevue School Hall, 12 Bancroft Terrace",0.2058823529,0.2058823529,0.0882352941,0.2352941176,34
2014,"Te Tai Tonga","Woolston","St John's Church Hall, corner St Johns Street & Ferry Road",0.1428571429,0.4285714286,0.0816326531,0.1428571429,49
2014,"Te Tai Tonga","Berhampore","South Wellington Intermediate School Mini Hall, 165 Rintoul Street",0.3333333333,0.3333333333,0,0.0952380952,21
2014,"Te Tai Tonga","Hataitai","Kilbirnie School Hall, 72 Hamilton Road",0.35,0.55,0.05,0,20
2014,"Te Tai Tonga","Miramar","Miramar Central School Hall, 38 Park Road",0.2692307692,0.3846153846,0.0384615385,0.1538461538,26
2014,"Te Tai Tonga","Newtown","Wellington Pipe Band Hall, corner Stoke & Hanson Streets",0.35,0.45,0,0.1,20
2014,"Te Tai Tonga","Kaiapoi","Kaiapoi North School, 278 Williams Street",0.1555555556,0.3111111111,0.0888888889,0.3111111111,45
2014,"Te Tai Tonga","Motueka","Motueka South School, 450 High Street",0.2916666667,0.375,0.0833333333,0.1666666667,24
